time,user_id,query,result_click,url,result_and_click,result_rank,click_rank,url_split,word_count,label
00:00:00,2982199073774412,360安全卫士,8 3,download.it.com.cn/softweb/software/firewall/antivirus/20067/17938.html,"[""8"",""3""]",8,3,"[""download.it"",""softweb"",""software"",""firewall"",""antivirus"",""20067"",""17938l""]","{""17938l"":1,""20067"":1,""antivirus"":1,""firewall"":1,""software"":1,""softweb"":1,""download.it"":1}",Resource
00:00:00,7594220010824798,哄抢救灾物资,1 1,news.21cn.com/social/daqian/2008/05/29/4777194_1.shtml,"[""1"",""1""]",1,1,"[""news.21cn"",""social"",""daqian"",""2008"",""05"",""29"",""4777194_1""]","{""29"":1,""05"":1,""4777194_1"":1,""2008"":1,""daqian"":1,""social"":1,""news.21cn"":1}",Information
00:00:00,5228056822071097,75810部队,14 5,www.greatoo.com/greatoo_cn/list.asp?link_id=276&title=%BE%DE%C2%D6%D0%C2%CE%C5,"[""14"",""5""]",14,5,"[""www.greatoo"",""greatoo_cn"",""list.asp?link_id=276&title=%be%de%c2%d6%d0%c2%ce%c5""]","{""list.asp?link_id=276&title=%be%de%c2%d6%d0%c2%ce%c5"":1,""greatoo_cn"":1,""www.greatoo"":1}",Information
00:00:00,6140463203615646,绳艺,62 36,www.jd-cd.com/jd_opus/xx/200607/706.html,"[""62"",""36""]",62,36,"[""www.jd-cd"",""jd_opus"",""xx"",""200607"",""706l""]","{""706l"":1,""200607"":1,""xx"":1,""jd_opus"":1,""www.jd-cd"":1}",Information
00:00:00,8561366108033201,汶川地震原因,3 2,www.big38.net,"[""3"",""2""]",3,2,"[""www.big38"",""""]","{""www.big38"":1}",Navigation
00:00:00,23908140386148713,莫衷一是的意思,1 2,www.chinabaike.com/article/81/82/110/2007/2007020724490.html,"[""1"",""2""]",1,2,"[""www.chinabaike"",""article"",""81"",""82"",""110"",""2007"",""2007020724490l""]","{""2007020724490l"":1,""2007"":1,""110"":1,""82"":1,""81"":1,""article"":1,""www.chinabaike"":1}",Information
00:00:00,1797943298449139,星梦缘全集在线观看,8 5,"www.6wei.net/dianshiju/????\xa1\xe9|????do=index","[""8"",""5""]",8,5,"[""www.6wei"",""dianshiju"",""????\xa1\xe9|????do=index""]","{""????\xa1\xe9|????do=index"":1,""dianshiju"":1,""www.6wei"":1}",Information
00:00:00,717725924582846,闪字吧,1 2,www.shanziba.com,"[""1"",""2""]",1,2,"[""www.shanziba"",""""]","{""www.shanziba"":1}",Navigation
00:00:00,41416219018952116,霍震霆与朱玲玲照片,2 6,bbs.gouzai.cn/thread-698736.html,"[""2"",""6""]",2,6,"[""bbs.gouzai"",""thread-698736l""]","{""thread-698736l"":1,""bbs.gouzai"":1}",Resource
00:00:00,9975666857142764,电脑创业,2 2,ks.cn.yahoo.com/question/1307120203719.html,"[""2"",""2""]",2,2,"[""ks.yahoo"",""question"",""1307120203719l""]","{""1307120203719l"":1,""question"":1,""ks.yahoo"":1}",Resource
